M,N,K,t,tflops
2,2,2,1.5571e-5,1.0275512170059727e-6
2,2,4,1.5975e-5,2.0031298904538345e-6
2,2,8,1.6648e-5,3.844305622296972e-6
2,2,16,1.8492e-5,6.921912178239239e-6
2,2,32,2.1616e-5,1.1843079200592153e-5
2,2,64,2.5101e-5,2.0397593721365682e-5
2,2,128,3.5414e-5,2.891511831479076e-5
2,2,256,5.6387e-5,3.632042846755458e-5
2,2,512,9.8211e-5,4.170612253209926e-5
2,2,1024,0.000254677,3.216623409259572e-5
2,2,2048,0.000469742,3.487872065942581e-5
2,2,4096,0.000733608,4.4666906576809414e-5
2,2,8192,0.001379823,4.749594694391961e-5
2,2,16384,0.002725354,4.8093568762076406e-5
2,2,32768,0.005492299,4.772937525797485e-5
2,2,65536,0.01085833,4.828440469206591e-5
2,2,131072,0.026958553,3.88958561685414e-5
2,2,262144,0.051109849,4.1032248011532965e-5
2,2,524288,0.094068445,4.4587789242184247e-5
2,2,1048576,0.180027325,4.659630419993187e-5
2,2,2097152,0.393336417,4.265360458602032e-5
2,2,4194304,0.83402959,4.023170448904577e-5
2,2,8388608,1.659026182,4.0450756430557644e-5
2,4,2,1.5323e-5,2.0883638974091237e-6
2,4,4,1.5886e-5,4.028704519702883e-6
2,4,8,1.6549e-5,7.734606320623602e-6
2,4,16,1.8461e-5,1.386707112290775e-5
2,4,32,1.9982e-5,2.562306075467921e-5
2,4,64,2.5093e-5,4.0808193520105214e-5
2,4,128,3.5618e-5,5.74990173507777e-5
2,4,256,5.7139e-5,7.168483872661404e-5
2,4,512,0.000100073,8.186024202332297e-5
2,4,1024,0.000296528,5.525279231640857e-5
2,4,2048,0.000541503,6.051305348262151e-5
2,4,4096,0.000784411,8.354803795459267e-5
2,4,8192,0.001450844,9.034189754377451e-5
2,4,16384,0.002809388,9.331000203603062e-5
2,4,32768,0.005568956,9.414475531859113e-5
2,4,65536,0.011036982,9.500568180685624e-5
2,4,131072,0.02788435,7.520892543666968e-5
2,4,262144,0.051776746,8.100748548392748e-5
2,4,524288,0.095388236,8.794174577250804e-5
2,4,1048576,0.202811416,8.272323289730397e-5
2,4,2097152,0.428809182,7.825026470631872e-5
2,4,4194304,0.849524631,7.899578370200311e-5
2,8,2,1.542e-5,4.150453955901426e-6
2,8,4,1.5748e-5,8.128016256032513e-6
2,8,8,1.6824e-5,1.5216357584403234e-5
2,8,16,1.8491e-5,2.7689146071061597e-5
