M,N,K,t,tflops
2,2,2,1.508e-5,1.0610079575596817e-6
2,2,4,1.4645e-5,2.185046090815978e-6
2,2,8,1.4578e-5,4.390176979009466e-6
2,2,16,1.4594e-5,8.770727696313554e-6
2,2,32,1.4543e-5,1.760297050127209e-5
2,2,64,1.6623e-5,3.0800697828310175e-5
2,2,128,2.1962e-5,4.662599034696293e-5
2,2,256,3.3014e-5,6.203428848367359e-5
2,2,512,5.3692e-5,7.62869701259033e-5
2,2,1024,9.6183e-5,8.517097616002828e-5
2,2,2048,0.000324379,5.050881838836669e-5
2,2,4096,0.000534627,6.129133021714205e-5
2,2,8192,0.000709123,9.241838157837217e-5
2,2,16384,0.001459122,8.982936313755808e-5
2,2,32768,0.002823483,9.28441927930857e-5
2,2,65536,0.0055328,9.475997686524002e-5
2,2,131072,0.010950784,9.575350952041425e-5
2,2,262144,0.029785444,7.04086197271392e-5
2,2,524288,0.0514526,8.151782417215068e-5
2,2,1048576,0.094799249,8.848812715805375e-5
2,2,2097152,0.202996037,8.264799770450693e-5
2,2,4194304,0.424222475,7.909630907697666e-5
2,2,8388608,0.840345249,7.985868198797897e-5
2,4,2,1.4526e-5,2.2029464408646568e-6
2,4,4,1.4392e-5,4.446914952751529e-6
2,4,8,1.4481e-5,8.839168565706787e-6
2,4,16,1.4451e-5,1.7715037021659402e-5
2,4,32,1.4438e-5,3.546197534284527e-5
2,4,64,1.7051e-5,6.00551287314527e-5
2,4,128,2.2305e-5,9.181797803183143e-5
2,4,256,3.29e-5,0.0001244984802431611
2,4,512,5.4431e-5,0.00015050247101835353
2,4,1024,9.6959e-5,0.0001689786404562753
2,4,2048,0.000326719,0.00010029413655159326
2,4,4096,0.000537856,0.00012184673964778678
2,4,8192,0.000710195,0.00018455776230471912
2,4,16384,0.001418589,0.00018479207155842884
2,4,32768,0.002843841,0.00018435911149744305
2,4,65536,0.00557412,0.00018811507466649443
2,4,131072,0.011032457,0.0001900892974248619
2,4,262144,0.027705736,0.00015138756826384256
2,4,524288,0.051775889,0.00016201765265681868
2,4,1048576,0.105890086,0.00015843991287342992
2,4,2097152,0.217233426,0.0001544625641543765
2,4,4194304,0.429517804,0.00015624233355411736
2,8,2,1.4659e-5,4.3659185483320834e-6
2,8,4,1.4573e-5,8.78336649969121e-6
2,8,8,1.4563e-5,1.7578795577834236e-5
2,8,16,1.4493e-5,3.5327399434209615e-5
2,8,32,1.4519e-5,7.052827329705903e-5
2,8,64,1.7051e-5,0.0001201102574629054
2,8,128,2.2246e-5,0.00018412298840240942
2,8,256,3.3124e-5,0.00024731312643400555
2,8,512,5.4535e-5,0.00030043091592555244
2,8,1024,9.7196e-5,0.0003371332153586568
2,8,2048,0.000327886,0.0001998743465716743
2,8,4096,0.000518575,0.00025275418213373187
2,8,8192,0.00078551,0.00033372458657432755
2,8,16384,0.001398789,0.0003748156441035782
2,8,32768,0.002857554,0.00036694879606824574
2,8,65536,0.005598582,0.00037458627916854656
2,8,131072,0.011081615,0.000378492124117288
2,8,262144,0.027900251,0.00030066424850443103
2,8,524288,0.054139509,0.00030988858801804053
2,8,1048576,0.111547872,0.00030080745959905
2,8,2097152,0.221587209,0.0003028553150827402
2,16,2,1.449e-5,8.83367839889579e-6
2,16,4,1.4408e-5,1.776790671848973e-5
2,16,8,1.4422e-5,3.550131743170156e-5
2,16,16,1.443e-5,7.096327096327096e-5
2,16,32,1.4784e-5,0.00013852813852813854
2,16,64,1.6967e-5,0.00024140979548535396
2,16,128,2.2317e-5,0.0003670744275664292
2,16,256,3.3332e-5,0.0004915396615864635
2,16,512,5.4788e-5,0.0005980871723735125
2,16,1024,9.7958e-5,0.0006690214173421262
2,16,2048,0.000328852,0.0003985744347001083
2,16,4096,0.000541449,0.00048415270875003924
2,16,8192,0.000726159,0.000722001655284862
